問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
コンピュータウイルスの感染を防ぐために、最も重要な行動はどれですか？," ソフトウェアやセキュリティ対策ソフトを最新の状態に保つ",パソコンのインターネット接続を切断して使用する," アンチウイルスソフトをインストールせずに使用する",コンピュータウイルスから守るためには、OSやセキュリティソフトを最新の状態に保つことが最も効果的です。セキュリティ更新を怠ると、新たに発見された脆弱性を悪用されたり、ウイルスに感染するリスクが高くなります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""04a570575ebb0752.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
LINE（ライン）やメールで怪しいリンク付きのメッセージを受け取ったとき、どう対応すればよいでしょうか。,リンクをクリックせず、メッセージも無視もしくは削除する,メッセージにあるリンクをすぐにクリックして、お得な情報を確認する,友達に転送する," 怪しいメッセージを受け取ったら、リンクを絶対にクリックせず、そのメッセージを無視または削除することが最も安全です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""04d3f60c0d9ffa81.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNS（ソーシャルネットワーキングサービス）への投稿について、誤っているものはどれでしょうか。,友達の許可なく名前や写真を投稿した,投稿後、間違いに気付いたのですぐに削除した,家族にシェアをお願いした," 友達や他人の名前や写真を許可なく投稿することは、その人のプライバシーを侵害することになります。特に写真や個人情報をSNSにアップロードする際には、必ず相手の許可を得ることが大切です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""06faab2fb150107e.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない番号から電話がかかってきました。次のうち、誤った対応はどれでしょうか。,待たせてしまうと失礼なので、すぐ電話に出る。,その場で電話を取らず、掛けてきた番号をインターネット等で確認する。,その場で電話を取らず、留守番電話を聞いて要件を確認する。,詐欺を目的とした電話が増えています。知らない番号から掛かってきた電話はすぐに取らず、番号から発信元を調べたり、留守番電話から要件を確認しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""0dddf31efbaece93.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
警察から「あなたの子どもが犯罪を犯しました、賠償金１００万を明日までに振り込んでください」とメールが来ました。次のうち誤っている対応はどれでしょうか。,期限が近いので、急ぎ振り込みに行く。,すぐに振り込まず、家族や知人に相談する。,警察が賠償金をメールで請求することはないので放置する。,電話口で緊急性を強調し、金銭を要求する振り込め詐欺です。一旦電話を切り、落ち着いて誰かに相談しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""17cec3f7c363e4d4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
最近、「インターネットバンキングで知らない内に自分の口座のお金が他人の口座に送金されている。」という被害が相次いでいます。被害にあわないようにするための、正しい対策を選んでください。,パソコンやスマートフォンにウイルス対策ソフトを導入して、バージョンを最新の状態に保つ。,パソコンやスマートフォンのOSや各種ソフトウエアのバージョンを購入当時のまま維持する。,ログインしようとした際に不審な入力画面がメッセージが表示されても、そのままIDとパスワードを入力する。,ウイルス対策ソフトは、悪意のあるソフトウェアからデバイスを守る重要なツールです。ウイルス対策ソフトを最新の状態に保つことで、新たに発見された脅威に対する防御能力が向上します。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""19b15a510b316d41.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない電話番号から着信があり、「孫の●●●●だよ、事故を起こして相手にお金が必要なんだ。すぐに振り込んで欲しい。このURLにアクセスして。」との内容。あなたならどうします？,身内等での決めた合言葉等で確認して、本人と違っていたので電話をすぐに切った。,URLに「コンビニでプリペイドカードを購入し送金」の指示があり、その通りにした。,話を聞いて大変な事なので、急いでURLにアクセスした。,"家族内、身内内で決めごと（ルール）を徹底して、知らない電話番号は常に疑う よう心掛けを持ちましょう。オレオレ詐欺等には気をつけましょう。また、不安 に思ったら、警察や家族に相談しましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""2dcf8119edf9bb6f.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
SNSを見ていたら、ブランド品が定価より安く購入できるという広告が出てきました。正しい行動は次のうちどれでしょうか？,本当にブランドの公式サイトなのか検索して確かめる。,公式サイトのみの数量限定販売とのことなので急いで購入手続きをする。,いつも使っているSNSに掲載されている広告なので、信頼して購入する。,公式サイトと書かれていても偽サイトの恐れがあります。URLを開かずに公式サイトを検索して確認しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""3ce7796b95c6da31.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
仕事やプライベートの大切な情報が詰まったスマートフォンを更新等した場合、最初に何をしますか？,パスワード等で簡単にロックをかけられるので、買ったらすぐにセキュリティのロック設定をする。,必要なアプリをインストールする。,自分が使いやすいように、ホーム画面にアプリをおく。,"まず最初にすることは、仮に悪意のある人に拾われて中をのぞかれたりする場合 があるので、有効なのがセキュリティロックをかけること。万が一、スマート フォンをなくしてしまったら、速やかに購入店やサポートに相談しましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""b153e94478529790.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
2段階認証について正しいものはどれでしょう。,パスワードと電話・メールなどで受け取ったコードを入力して認証する,自分で設定したパスワードを1回入力して認証する,自分で設定したパスワードを2回入力して認証する,2段階認証とは、Webサービスへのログイン時に「IDとパスワード」の入力に加え、別の認証を行う、二段構えの認証方法のこと。不正ログインへの対策として2回の認証を行うことで本人確認をし、セキュリティの強化を図ることができる。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""b63afc4317bcee46.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto4""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
