問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
企業のホームページやメールマガジンの会員登録をする際、どのようなパスワードが最も安全でしょうか。,ランダムな文字、数字、記号を組み合わせた長いパスワード,名前や誕生日、車のナンバーを使った覚えやすい簡単なパスワード,すべての企業のホームページやメールマガジンの登録で同じパスワードを使いまわす," ランダムな文字列にすることで、予測困難なパスワードを作ることができ、長さを増やすことでセキュリティがさらに強化されます。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""bf5457985edff4b1.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマートフォンの「ソフトウェアの更新」を行う目的で正しものはどれでしょうか？,セキュリティの問題を修正したり、機能を改善したりするため,新しいアプリを自動的にインストールするため,見栄えをよくするため," 新たに発見された脆弱性に対して修正パッチを適用することで、悪意のある攻撃から守ることができます。また、動作の不具合やバグを修正することも、更新の一部として行われます。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""c9b9f1aa7399f989.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも使用している通販サイトに見慣れない広告（「会員様限定」との表記）があったが、クリックをすると、見慣れない外国文字表記だった。この時の正しい対処方法は？,いつものサイトであったが知らない外国語表記だったので、クリックせずに停止した。,いつものサイトで使い慣れていたので、疑うことなくクリックした。,会員限定と書いていたので、安心・信用してそのままクリックした。,"いつものサイトでも、知らない広告等から様々な危険を伴うサイトやサイバー攻 撃を受けるなどのリスクが生じる場合があるので、特に知らない広告等には注意 が必要。「いつもの」に安心せずに気をつけながら、相談できる家族等があれば 相談するなども効果の一つである。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""cc5989d4365e5ec6.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマホの機能やアプリを使用する際に、IDとパスワードの登録が求められることがあります。パスワードを設定する場合、どのようなことに気をつけて設定しますか？,他人に安易に知られてはいけないものだから簡単に想像がつくようなパスワードは控える。,覚えやすいから、誕生日や電話番号で設定する。,常にパスワードが使えるように、紙に書き留めて家のリビングや財布等においておく。,"安易にわからないパスワードを設定し、一定の期間ごとにパスワードを見直すこ と、パスワードの使いまわしをしないようすることも大切です。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d26852a225a000c4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ウェブサイトに登録する際パスワードの設定を求められたが、どうするのがいいか？,サイト名の頭文字や自分の好きな数字、記号等を組み合わせたものを使う。,自分の名前や生年月日を使う。,忘れるといけないので他のサイトで使用しているものと同じパスワードを使用する。,名前や生年月日は推測されやすいためパスワードに設定してはいけません。他のサイトと同じパスワードを使いまわしてしまうと、1つのサイトでパスワードが漏洩してしまった場合等に芋づる式に他のサイトにも不正アクセスされてしまうリスクがあります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d302c1f7cf3c3153.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ショッピングサイトで買い物をしたときの行動として正しいものは、次のうちどれでしょうか？,商品の説明や購入画面をスクリーンショットで保存しておく。,購入記録はショッピングサイトに保存されているため自分で情報を残す必要はない。,購入記録はメールで届くのでメールを保存しておけばよい。,購入記録はいつまで保存されるか不確かで、商品情報も購入後に修正される恐れがあります。かならずスクリーンショットを保存するようにしましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d7eff9ef5f31c226.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
テレビで見る有名人から「友達になって欲しい、ぜひ会いましょう」とメールがありました、次のうち誤っている対応はどれでしょうか？,双方の予定を調整し、会いに行く。,迷惑メールとしてごみ箱に移動し、宛先をブロックする。,有名人が自分のアドレスを知っているはずがないので放置する。,有名人を騙ったメールで危険なサイトへ誘導し、金銭トラブルや情報漏えいといった被害に発展します。危険ですので不審なメールには返信しないでください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""d908523d1ccbac23.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
LINEの「友だち自動追加」機能は何をするためのものですか？,端末に登録した電話番号の連絡先を自動的に友達追加する,自動的にLINEのグループに参加する,メールアドレスで自動的に友達を追加する,LINEの「友だち自動追加」機能は、端末に登録した電話番号の連絡先を自動的に友達追加する機能である,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""dde984fe90f8c07d.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
LINEの「QRコード」を使うと何ができますか？,他のユーザーのLINEアカウントを追加する,画像を送信する,電話をかける,LINEの「QRコード」を使うと、ほかのユーザーのLINEアカウントを追加したり自分のアカウントを追加してもらうことができる,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""e78579bd234e595b.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ショートメッセージでの配達の不在連絡があった。次のうちやってはいけないのはどれ？,メッセージにあるURLに接続して再配達の手続きを行う。,家族にメッセージを見せて確認する。,心当たりがないので無視する。,大手の配達業者がショートメッセージで不在の連絡をすることはありません。配達業者を装って個人情報の抜き取りや金銭をだまし取る手口ですので、URLにアクセスをしたり返信をしてはいけません。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""e9b4f87fae765b91.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto1""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
