問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
ネット上での投稿について正しいのはどれか。,匿名であっても誹謗中傷等を行えば罪に問われる場合がある。,匿名で投稿すれば何を言っても問題無い。,自宅で撮影した写真を投稿したが、顔を写していないため個人を特定される心配は無い。,匿名で投稿しても、名誉棄損等で訴えられると情報開示により個人が特定され、罪に問われた事例があります。顔を写していなくても、背景や写りこんだ情報等により家の場所や個人が特定される場合があります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""534e27599b6083c3.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
フィッシング詐欺のメールでよく見られる特徴はどれですか？,メールに急いで対応するよう圧力がかかっている,送信者が正確にわかり、個人的な内容が書かれている,メールに添付ファイルがない,フィッシング詐欺のメールでは、受信者に対して「急いで対応しなければアカウントが凍結される」など、迅速な行動を促す圧力がかけられます。これは受信者を焦らせて、冷静な判断をさせなくするための手口です。怪しいメールは慎重に扱い、公式サイトから確認することが重要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""53686bd29c65602b.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつの間にか入っていたLINEグループで、儲かる投資方法を教えてくれると言うメンバーがいます。次のうち正しい対応はどれでしょうか？,グループから退会する。,詳しく話を聞きたいのでメッセージに返信する。,メンバーの指示に従いアカウントをフォローする。,LINEグループでの投資話は詐欺です。話に乗らずにグループから退会しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5373ec0a817a05b1.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
インターネットでショッピングをするときに作成するIDとパスワードの管理について正しいものはどれでしょうか？,誰にも教えない,ひとめにつくところにメモして置いておく,家族には教えても大丈夫,IDとパスワードは個人情報を守るための重要なセキュリティ要素です。適切に管理しましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""666a60aad7cc5ec4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
家族で海外旅行中に撮影した写真をインスタグラムに投稿したいが、いつ投稿するのがよいか。,家に帰ってから投稿する。,知り合いにすぐ見てもらいたいので、撮影するたびに投稿する。,現地のホテルに到着し、落ち着いてから投稿する。,旅行中に投稿すると留守であるのが知られてしまうため、本名で利用していたり家の場所を推測できる情報等を過去に投稿してしまったりしていた場合に空き巣被害にあう恐れが高くなってしまいます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""91dae63bdb6899d6.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
ショートメッセージで宝くじの当選案内が届いた。どうするべきか？,メッセージを削除する。,宝くじを買った覚えがないため、メッセージに返信して確認をする。,メッセージに記載のURLをクリックし、受け取れるか確認する。,購入していない宝くじが当たることはあり得ません。ショートメッセージで届く宝くじの当選案内は全て詐欺です。当選金を受け取るための手数料という名目等で金銭を請求されたり、個人情報やクレジットカード情報を盗み取られる恐れがあります。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a0fa024e856f6497.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
パスワードを設定するときに安全性が高いのは次のうちどれでしょう。,英数字記号など覚えにくい文字の組み合わせ,推測のしやすいアルファベット(例:abcd),自分の誕生日に関する数字,推測しにくい英数字記号の組み合わせにすることでアカウントの乗っ取りがされにくく安全性が高い,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a3075043907c9f38.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
「電子メール（Eメール）」を送る際に必要なものは何ですか？,受信者のメールアドレス," 受信者の住所",受信者の電話番号,電子メールを送る際は相手の宛先である受信者のメールアドレスが必要である,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a4d0f85d0b7c10f5.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
スマートフォンがインターネットにつながらない。どれが原因として考えられるか？,機内モードになっているため。,電池の残量が10%になっているため。,マナーモードになっているため。,機内モードにしていると、電話やインターネット（wifiを含む）へ接続できなくなります。マナーモードや電池の残量はインターネット接続とは関係ありません。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a58c59398afdfdda.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
フィッシング詐欺は、悪意のある人物が有名な企業や団体になりすまして、個人情報を騙し取ろうとする手口です。最もよく使われる方法はどれですか？,偽のメールを送って、個人情報を求める,友達からの電話での確認,知らない人と会って直接情報を聞き出す,フィッシング詐欺では、偽のメールが使われ、企業や銀行など信頼できる組織を装って、受信者にパスワードやクレジットカード情報を求める手口がよく見られます。電話や直接会うことは少なく、主にメールで行われます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""a5da3d1fd7f7d4af.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto3""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
