問題文,正解の選択肢,不正解の選択肢1,不正解の選択肢2,解説,削除
ソーシャルメディアに自分の住所や電話番号などのプライベート情報を公開することには、どんなリスクがありますか？,不正アクセスや詐欺のターゲットにされるリスクが増える,友達との関係が深まり、良いことがある,すぐにフォロワーが増える,SNSで住所や電話番号などの個人情報を公開すると、詐欺師やハッカーに狙われやすくなります。公開した情報を基に、詐欺や不正アクセスが行われるリスクが高まるため、個人情報は慎重に扱うことが重要です。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""59e7a89809b020f8.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
あなたはSNSの利用を始めました。次のうち正しい行動はどれでしょうか。,個人を特定できる情報は投稿せず、誰に見られても困らない内容を心掛けた。,近所にある行きつけのお店を紹介したかったので、自分が映り込む形で撮影した写真を「家から近いのでよく通っています！」と紹介文をつけてアップロードした。,投稿した内容に否定的なコメントがついたので、暴力的な内容を返信をすることで相手を牽制した。,SNS上に投稿した内容は不特定多数の人が閲覧でき、内容によっては大きな問題に発展する可能性があります。一度投稿した内容が拡散されてしまうとネット上から削除することが困難なので、投稿内容には十分注意してください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""5c532ab743799c6a.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
知らない人からのメールが送られてきました。次のうち正しい行動はどれでしょう。,開かずに無視,知り合いかもしれないので試しに返信してみる,友達に転送する,詐欺や迷惑メールの可能性があるため知らない人からのメールは何もしないのが安全,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""79d9723297b44daf.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも使っているショッピングサイトからこのURLから手続きをしないと使えなくなるといった内容のメールが届きました。次のうち、個人情報を取られてしまう危険性があるのはどれでしょうか？,メールに記載されているURLに接続して手続きを行う。,手続きする必要があるか家族に相談する。,送られてきたメールのアドレスが、いつも届くショッピングサイトのアドレスと同じものではなかったので放置する。,いつも使っているショッピングサイトをかたり個人情報を入力させるフィッシング詐欺の恐れがあります。怪しいメールはURLを開かないようにしましょう。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""7cce3777bf14b2dd.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
いつも利用している通販サイトから「【重要】安全のためお客様のアカウントを一時的にロックしました。解除にはログインが必要です。（リンク先URL）」とメールが送られてきました。次のうち誤った対応はどれでしょうか。,リンク先でログインを行い、急いでロックを解除する。,メールアドレス・ドメインが公式通販サイトのものであるか調べる。,インターネット上の公式サイトから問い合わせ先を確認し、アカウントがロックされた理由を問い合わせる。,緊急性のある文面で不安を煽り、個人情報を直接入力させるフィッシング詐欺です。メールのリンク先は詐欺サイトの可能性があるため、公式の情報を元に対応する必要があります。（URL、メールアドレス、ドメイン等））,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""84b4c389c9a93bd7.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
外出先でスマホを利用しているとき、パスワード不要で利用できるフリーWi-Fiがありました。次のうち正しくない対応はどれでしょうか。,さっそくフリーWi-Fiを利用し、ネット通販や動画サイトにログインした。,公的機関や店舗が利用者向けに開放しているフリーWi-Fiであるか確認した。,公的機関のフリーWi-Fiであると確認できた場合であっても、個人情報を入力するような利用は避けてウェブページの閲覧だけに留めた。,悪意を持った人がWi-Fiを開放し、利用者が入力した個人情報を取得することがあります。公的機関や店舗が開放しているwifiを利用し、個人情報の入力は控えましょう,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""8ee9d29a3782318e.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
同じパスワードを複数のインターネットサイトで使い回すと、どんなリスクが考えられるでしょうか？,一度パスワードが盗まれると、複数のサイトで同時に不正アクセスされる危険がある,どのサイトでも問題なく安全,パスワードを使い回した方が便利で簡単,同じパスワードを複数のサイトで使い回すと、1つのサイトでパスワードが盗まれると、他のサイトでも不正アクセスされやすくなります。これを防ぐためには、サイトごとに異なるパスワードを設定することが推奨されます。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""9a85499977ff0547.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
全く知らない「+1844・・・・」等の電話番号から着信があったら、どうします？,知らない電話番号なので出ないようにしている。,とりあえず、電話に出てみる。,電話に出ようとしたら途中で切れたので、掛けなおす。,"国際電話番号による. 特殊詐欺が急増中で、「＋1」や「＋44」などから始まる番 号、 このような表示の電話には出ない。また、掛けなおさないこと。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""edfc6fedc7bafbc8.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
インターネットをしていたら、突然画面にウイルスに感染したとのメッセージが出てきた。次のどの行動が正解か？,画面の表示は無視する。,画面の指示に従い、ウイルス対策ソフトを購入する。,表示されている電話番号に電話をする。,実際はウイルスに感染していないのに、不安を煽って無用なソフトを購入させる手口です。電話をかけるとプリペイドカードの購入や口座への振込等を指示される場合がありますので、画面の指示には従わず無視してください。パソコンやスマホの再起動をしても表示が消えない場合は、家族等に相談してください。,"<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""f78245f784f6cbc4.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
パソコンでインターネットを利用していると、突然画面に「お申込みありがとうございます。代金を以下の口座にお振込みください。」と表示されました。この時の対応として正しいものを選んでください。,無視して、インターネットを閉じる。,インターネット上に記載されている電話番号に電話する。,すぐに指定された口座に振り込みする。,"詐欺の可能性が高いメッセージは、「無視して、インターネットを閉じる。」 ことが最も安全な対応です。その後、信頼できる方法で問題の確認を行うようにしましょう。","<form method=""POST"" style=""display:inline;""><input type=""hidden"" name=""delete_file"" value=""fe31029a39e0b57d.csv""><input type=""hidden"" name=""delete_quiz_id"" value=""naruto2""><button type=""submit"" onclick=""return confirm(\"削除しますか？\")"">削除</button></form>"
